Precinct Code,Contest Title,Candidate Name,Party Code,Votes
138,"Justice, Supreme Court, Place 7",Charles E. Waterbury,GRN,11
138,"Justice, Supreme Court, Place 7",Don Fulton,LIB,70
138,"Justice, Supreme Court, Place 7",Gina Benavides,DEM,484
138,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,806
138,"Justice, Supreme Court, Place 8",Jim Chisolm,GRN,167
138,"Justice, Supreme Court, Place 8",Phil Johnson,REP,880
138,"Justice, Supreme Court, Place 8",RS Roberto Koelsch,LIB,189
138,Lieutenant Governor,Chandrakantha Courtney,GRN,9
138,Lieutenant Governor,Dan Patrick,REP,805
138,Lieutenant Governor,Leticia Van de Putte,DEM,517
138,Lieutenant Governor,Robert D. Butler,LIB,69
138,"Mayor, City of Austin",David Orshalick,NON,0
138,"Mayor, City of Austin",Mary Catherine Krenek,NON,0
138,"Mayor, City of Austin",Mike Martinez,NON,0
138,"Mayor, City of Austin",Randall Stephens,NON,0
138,"Mayor, City of Austin",Ronald Culver,NON,0
138,"Mayor, City of Austin",Sheryl Cole,NON,0
138,"Mayor, City of Austin",Steve Adler,NON,0
138,"Mayor, City of Austin",Todd Phelps,NON,0
138,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Mark J. Williams,NON,341
138,Place 1 ACC Trustee AUSTIN COMMUNITY COLLEGE,Tim Mahoney,NON,360
138,"Place 1, Round Rock ISD Board of Trustee",Claudio Cruz,NON,392
138,"Place 1, Round Rock ISD Board of Trustee",Nikki Gonzales,NON,469
138,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Bob Allen,NON,172
138,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Gigi Edwards Bryant,NON,175
138,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jade Chang Sheppard,NON,134
138,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Jonathan Mathers,NON,68
138,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Michael J. Lewis,NON,70
138,Place 2 ACC Trustee AUSTIN COMMUNITY COLLEGE,Robb J. Misso,NON,40
138,"Place 3, Round Rock ISD Board of Trustee",Bryan Black,NON,320
138,"Place 3, Round Rock ISD Board of Trustee",Diane Cox,NON,583
138,"Place 5, Round Rock ISD Board of Trustee",Allen McKee,NON,259
138,"Place 5, Round Rock ISD Board of Trustee",Paul K. Emerson,NON,300
138,"Place 5, Round Rock ISD Board of Trustee",Suzi David,NON,280
138,"Place 6, Round Rock ISD Board of Trustee",Paul J. Tisch,NON,533
138,"Place 6, Round Rock ISD Board of Trustee",Tony A. Pitts,NON,282
138,Railroad Commissioner,Mark A. Miller,LIB,74
138,Railroad Commissioner,Martina Salinas,GRN,22
138,Railroad Commissioner,Ryan Sitton,REP,803
138,Railroad Commissioner,Steve Brown,DEM,470
